REG_NO,SURVEY_ID,created_us,created_da,last_edite,last_edi_1,PUBLISH,DATE,NAME,NUMBER,STREET1,STREET2,TLAND_NAME,TOWN,COUNTY_COD,COUNTY,LOCAL_AUTH,RPS,RMP,VALUE_DESC,ORIGINALTY,INUSETYPE,NIAH_SITE_
50010266,SURV030,NIAH,20141008,NIAH,20141008,1,1915 - 1925,Saks Hair Salon/Phish International Services Ltd,15,Sackville Place,,,Dublin 1,DU,DUBLIN,Dublin City Council,1,1,Regional,shop/retail outlet,shop/retail outlet,http://www.buildingsofireland.ie/niah/search.jsp?type=record&county=DU&regno=50010266
50010267,SURV030,NIAH,20141008,NIAH,20141008,1,1915 - 1925,The Sackville,16,Sackville Place,,,Dublin 1,DU,DUBLIN,Dublin City Council,1,1,Regional,shop/retail outlet,public house,http://www.buildingsofireland.ie/niah/search.jsp?type=record&county=DU&regno=50010267
50010268,SURV030,NIAH,20141008,NIAH,20141008,1,1915 - 1920,Sony Centre/Indulge,16-17,O'Connell Street Lower,Sackville Place,,Dublin 1,DU,DUBLIN,Dublin City Council,1,1,Regional,shop/retail outlet,shop/retail outlet,http://www.buildingsofireland.ie/niah/search.jsp?type=record&county=DU&regno=50010268
50010275,SURV030,NIAH,20141008,NIAH,20141008,1,1915 - 1920,Grand Central,10-11,O'Connell Street Lower,Abbey Street Lower,,Dublin 1,DU,DUBLIN,Dublin City Council,1,1,Regional,cinema,public house,http://www.buildingsofireland.ie/niah/search.jsp?type=record&county=DU&regno=50010275
50010320,SURV030,NIAH,20141008,NIAH,20141008,1,1865 - 1885,O'Connell Monument,,O'Connell Street Lower,,,Dublin 1,DU,DUBLIN,Dublin City Council,1,1,National,monument,monument,http://www.buildingsofireland.ie/niah/search.jsp?type=record&county=DU&regno=50010320
50010321,SURV030,NIAH,20141008,NIAH,20141008,1,1915 - 1925,The Daniel O'Connell,56,Bachelor's Walk,O'Connell Street Lower,,Dublin 1,DU,DUBLIN,Dublin City Council,1,1,Regional,house,shop/retail outlet,http://www.buildingsofireland.ie/niah/search.jsp?type=record&county=DU&regno=50010321
50010322,SURV030,NIAH,20141008,NIAH,20141008,1,1780 - 1820,Hair Inc.,34,Bachelor's Walk,,,Dublin 1,DU,DUBLIN,Dublin City Council,1,1,Regional,house,shop/retail outlet,http://www.buildingsofireland.ie/niah/search.jsp?type=record&county=DU&regno=50010322
50010323,SURV030,NIAH,20141008,NIAH,20141008,1,1780 - 1820,Dublin Tourist Office,33,Bachelor's Walk,,,Dublin 1,DU,DUBLIN,Dublin City Council,1,1,Regional,house,shop/retail outlet,http://www.buildingsofireland.ie/niah/search.jsp?type=record&county=DU&regno=50010323
50010324,SURV030,NIAH,20141008,NIAH,20141008,1,1780 - 1820,,32,Bachelor's Walk,Bachelor's Way,,Dublin 1,DU,DUBLIN,Dublin City Council,1,1,Regional,house,shop/retail outlet,http://www.buildingsofireland.ie/niah/search.jsp?type=record&county=DU&regno=50010324
50010325,SURV030,NIAH,20141008,NIAH,20141008,1,1875 - 1885,Bachelor Inn,31,Bachelor's Walk,Bachelor's Way,,Dublin 1,DU,DUBLIN,Dublin City Council,1,1,Regional,public house,public house,http://www.buildingsofireland.ie/niah/search.jsp?type=record&county=DU&regno=50010325
50010326,SURV030,NIAH,20141008,NIAH,20141008,1,1860 - 1900,Carr & O'Connell,30,Bachelor's Walk,,,Dublin 1,DU,DUBLIN,Dublin City Council,1,1,Regional,shop/retail outlet,public house,http://www.buildingsofireland.ie/niah/search.jsp?type=record&county=DU&regno=50010326
50010327,SURV030,NIAH,20141008,NIAH,20141008,1,1880 - 1885,Irish Church Missions,28,Bachelor's Walk,,,Dublin 1,DU,DUBLIN,Dublin City Council,1,1,,office,building misc,http://www.buildingsofireland.ie/niah/search.jsp?type=record&county=DU&regno=50010327
50010374,SURV030,NIAH,20141008,NIAH,20141008,1,1780 - 1820,Litton Lane Hostel,,Litton Lane,The Lotts,,Dublin 1,DU,DUBLIN,Dublin City Council,1,1,Regional,store/warehouse,hostel,http://www.buildingsofireland.ie/niah/search.jsp?type=record&county=DU&regno=50010374
50010375,SURV030,NIAH,20141008,NIAH,20141008,1,1915 - 1925,Supermac's,45-46,O'Connell Street Lower,,,Dublin 1,DU,DUBLIN,Dublin City Council,1,1,Regional,shop/retail outlet,restaurant,http://www.buildingsofireland.ie/niah/search.jsp?type=record&county=DU&regno=50010375
50010376,SURV030,NIAH,20141008,NIAH,20141008,1,1915 - 1925,Bookworms/Café Manila/Ladbrokes/Delfin English School/C.J. Osborne & Son,73-75,Abbey Street Middle,,,Dublin 1,DU,DUBLIN,Dublin City Council,1,1,Regional,house,shop/retail outlet,http://www.buildingsofireland.ie/niah/search.jsp?type=record&county=DU&regno=50010376
50010377,SURV030,NIAH,20141008,NIAH,20141008,1,1860 - 1880,Net House/Bar Beige Ltd,72,Abbey Street Middle,North Lotts,,Dublin 1,DU,DUBLIN,Dublin City Council,1,1,Regional,house,,http://www.buildingsofireland.ie/niah/search.jsp?type=record&county=DU&regno=50010377
50010378,SURV030,NIAH,20141008,NIAH,20141008,1,1915 - 1920,Terrisales Hairdressing Services Ltd,71,Abbey Street Middle,,,Dublin 1,DU,DUBLIN,Dublin City Council,1,1,Regional,shop/retail outlet,office; surgery/clinic; shop/retail outlet,http://www.buildingsofireland.ie/niah/search.jsp?type=record&county=DU&regno=50010378
50010379,SURV030,NIAH,20141008,NIAH,20141008,1,1915 - 1925,The Office Centre,70,Abbey Street Middle,,,Dublin 1,DU,DUBLIN,Dublin City Council,1,1,Regional,shop/retail outlet,office,http://www.buildingsofireland.ie/niah/search.jsp?type=record&county=DU&regno=50010379
50010380,SURV030,NIAH,20141008,NIAH,20141008,1,1915 - 1925,New York Cleaners,69,Middle Abbey Street,,,Dublin,DU,DUBLIN,Dublin City Council,1,1,Regional,shop/retail outlet,laundry,http://www.buildingsofireland.ie/niah/search.jsp?type=record&county=DU&regno=50010380
50010381,SURV030,NIAH,20141008,NIAH,20141008,1,1915 - 1925,New York,68,Abbey Street Middle,,,Dublin,DU,DUBLIN,Dublin City Council,1,1,Regional,house,,http://www.buildingsofireland.ie/niah/search.jsp?type=record&county=DU&regno=50010381
50010382,SURV030,NIAH,20141008,NIAH,20141008,1,1915 - 1920,CRU,67,Middle Abbey Street,,,Dublin 1,DU,DUBLIN,Dublin City Council,1,1,Regional,shop/retail outlet,shop/retail outlet,http://www.buildingsofireland.ie/niah/search.jsp?type=record&county=DU&regno=50010382
50010383,SURV030,NIAH,20141008,NIAH,20141008,1,1915 - 1925,Alto Food,66,Middle Abbey Street,,,Dublin 1,DU,DUBLIN,Dublin City Council,1,1,Regional,shop/retail outlet,shop/retail outlet,http://www.buildingsofireland.ie/niah/search.jsp?type=record&county=DU&regno=50010383
50010384,SURV030,NIAH,20141008,NIAH,20141008,1,1915 - 1920,Irish Traditional Music,65,Middle Abbey Street,,,Dublin 1,DU,DUBLIN,Dublin City Council,1,1,Regional,shop/retail outlet,shop/retail outlet,http://www.buildingsofireland.ie/niah/search.jsp?type=record&county=DU&regno=50010384
50010385,SURV030,NIAH,20141008,NIAH,20141008,1,1915 - 1925,House of Colour,64,Middle Abbey Street,,,Dublin 1,DU,DUBLIN,Dublin City Council,1,1,Regional,shop/retail outlet,shop/retail outlet,http://www.buildingsofireland.ie/niah/search.jsp?type=record&county=DU&regno=50010385
50010386,SURV030,NIAH,20141008,NIAH,20141008,1,1915 - 1920,Cruise Holidays,63,Middle Abbey Street,,,Dublin 1,DU,DUBLIN,Dublin City Council,1,1,Regional,shop/retail outlet,shop/retail outlet,http://www.buildingsofireland.ie/niah/search.jsp?type=record&county=DU&regno=50010386
50010387,SURV030,NIAH,20141008,NIAH,20141008,1,1915 - 1925,Tour America,62,Middle Abbey Street,,,Dublin 1,DU,DUBLIN,Dublin City Council,1,1,Regional,restaurant,shop/retail outlet,http://www.buildingsofireland.ie/niah/search.jsp?type=record&county=DU&regno=50010387
50010388,SURV030,NIAH,20141008,NIAH,20141008,1,1940 - 1950,J.J. Lalor Ltd. Printers/A One Alterations,61,Middle Abbey Street,,,Dublin 1,DU,DUBLIN,Dublin City Council,1,1,Regional,workshop,office,http://www.buildingsofireland.ie/niah/search.jsp?type=record&county=DU&regno=50010388
50010389,SURV030,NIAH,20141008,NIAH,20141008,1,1840 - 1950,J.J. Lalor Ltd Printers,60,Middle Abbey Street,,,Dublin,DU,DUBLIN,Dublin City Council,1,1,Regional,house,office,http://www.buildingsofireland.ie/niah/search.jsp?type=record&county=DU&regno=50010389
50010390,SURV030,NIAH,20141008,NIAH,20141008,1,1710 - 1730,Full House,59,Middle Abbey Street,,,Dublin,DU,DUBLIN,Dublin City Council,1,1,Regional,house,restaurant,http://www.buildingsofireland.ie/niah/search.jsp?type=record&county=DU&regno=50010390
50010391,SURV030,NIAH,20141008,NIAH,20141008,1,1710 - 1730,A.D. Wears American Design,58,Middle Abbey Street,,,Dublin 1,DU,DUBLIN,Dublin City Council,1,1,Regional,house,shop/retail outlet,http://www.buildingsofireland.ie/niah/search.jsp?type=record&county=DU&regno=50010391
50011181,SURV030,NIAH,20141008,NIAH,20141008,1,1880 - 1885,The Academy,,The Lotts,,,Dublin,DU,DUBLIN,Dublin City Council,1,1,Regional,store/warehouse,theatre/opera house/concert hall,http://www.buildingsofireland.ie/niah/search.jsp?type=record&county=DU&regno=50011181
50010392,SURV030,NIAH,20141008,NIAH,20141008,1,1740 - 1760,Ana Liffey Drug Project,51,Middle Abbey Street,,,Dublin 1,DU,DUBLIN,Dublin City Council,1,1,Regional,house,surgery/clinic,http://www.buildingsofireland.ie/niah/search.jsp?type=record&county=DU&regno=50010392
50010393,SURV030,NIAH,20141008,NIAH,20141008,1,1740 - 1760,Dublin 1 Apartments,50,Middle Abbey Street,,,Dublin 1,DU,DUBLIN,Dublin City Council,1,1,Regional,house,apartment/flat (converted),http://www.buildingsofireland.ie/niah/search.jsp?type=record&county=DU&regno=50010393
50010394,SURV030,NIAH,20141008,NIAH,20141008,1,1740 - 1760,,48,Middle Abbey Street,,,Dublin 1,DU,DUBLIN,Dublin City Council,1,1,Regional,house,apartment/flat (converted),http://www.buildingsofireland.ie/niah/search.jsp?type=record&county=DU&regno=50010394
50010395,SURV030,NIAH,20141008,NIAH,20141008,1,1740 - 1760,,47,Middle Abbey Street,,,Dublin 1,DU,DUBLIN,Dublin City Council,1,1,Regional,house,building misc,http://www.buildingsofireland.ie/niah/search.jsp?type=record&county=DU&regno=50010395
50011182,SURV030,NIAH,20141008,NIAH,20141008,1,1740 - 1760,Epicurean Food Hall,46,Abbey Street Middle,,,Dublin,DU,DUBLIN,Dublin City Council,1,1,Local,house,restaurant,http://www.buildingsofireland.ie/niah/search.jsp?type=record&county=DU&regno=50011182
50010396,SURV030,NIAH,20141008,NIAH,20141008,1,1915 - 1925,,108-109,Middle Abbey Street,,,Dublin 1,DU,DUBLIN,Dublin City Council,1,1,Regional,shop/retail outlet,shop/retail outlet,http://www.buildingsofireland.ie/niah/search.jsp?type=record&county=DU&regno=50010396
50010397,SURV030,NIAH,20141008,NIAH,20141008,1,1935 - 1940,,102,Middle Abbey Street,,,Dublin 1,DU,DUBLIN,Dublin City Council,1,1,Regional,cinema,car park,http://www.buildingsofireland.ie/niah/search.jsp?type=record&county=DU&regno=50010397
50010398,SURV030,NIAH,20141008,NIAH,20141008,1,1910 - 1930,City News/Curtin & Lawlor Ltd,97,Middle Abbey Street,,,Dublin 1,DU,DUBLIN,Dublin City Council,1,1,Regional,shop/retail outlet,shop/retail outlet,http://www.buildingsofireland.ie/niah/search.jsp?type=record&county=DU&regno=50010398
